channel,wTime,sTime,peakViews,avgViews,followers
xQcOW,6196161750,215250,222720,27716,3246298
summit1g,6091677300,211845,310998,25610,5310163
ESL_CSGO,3970318140,517740,300575,7714,3944850
Tfue,3671000070,123660,285644,29602,8938903
Asmongold,3668799075,82260,263720,42414,1563438
NICKMERCS,3360675195,136275,115633,24181,4074287
Fextralife,3301867485,147885,68795,18985,508816
loltyler1,2928356940,122490,89387,22381,3530767
Anomaly,2865429915,92880,125408,12377,2607076
TimTheTatman,2834436990,108780,142067,25664,5265659
LIRIK,2832930285,128490,89170,21739,2666382
Riot Games (riotgames),2674646715,80820,639375,20960,4487489
sodapoppin,2329440420,115305,107833,19659,2786162
CohhCarnage,2029212570,175230,43615,11343,1264808
Lord_Kebun,1943299035,153720,34830,12367,434200
Castro_1021,1845157080,100215,125133,17779,2411995
DrDisrespect,1839882465,73065,97540,23794,4450718
Pestily,1659741015,138300,168112,8481,616168
GamesDoneQuick,1619144100,87450,234826,6734,1724316
MOONMOON,1527882945,124680,24892,11220,923448
DrLupo,1517612010,172350,90696,8311,4115083
Myth,1479214575,134760,122552,9396,6726893
nl_Kripp,1470897720,155895,29316,9256,1379123
LEC,1470431925,45660,305119,28830,973727
Fresh,1464179820,147660,57431,9728,3135667
LCS,1461310140,31125,214124,46459,1162746
ROSHTEIN,1435735725,118995,45843,11717,381918
TFBlade,1394312895,141285,35833,9117,1008040
LCK,1351758525,37140,171861,36030,934688
Yassuo,1347412425,103905,70587,10531,1878416
HasanAbi,1339344945,193560,44649,6543,470123
BeyondTheSummit,1339097490,505080,116547,2635,923689
Bugha,1324519320,100470,66311,12982,2942212
RocketLeague,1322448480,33540,206681,36086,1409120
Clix,1256647110,89760,81926,12996,2035180
Gorgc,1252711830,141135,56449,8683,391726
ONSCREEN,1197130335,134880,88516,4134,918654
AdmiralBahroo,1188645990,141210,21053,8152,778055
Quin69,1186941750,174270,36742,6616,538532
dasMEHDI,1172969025,231465,47683,5013,299048
sneakylol,1149209820,174885,22759,6775,1659108
NickEh30,1148114400,117885,85073,9702,1660204
Vader,1110952500,184305,16289,5913,424374
forsen,1106781045,109140,33966,10080,1308165
StarLadder_cs_en,1088832810,32880,329195,29956,820675
Symfuhny,1076179485,137400,45671,7327,2355063
DreamHackCS,1052904720,314595,212201,5001,1801697
Mizkif,1052047935,123120,32671,7899,591653
Rainbow6,1031011170,82380,135471,11535,1501197
Maximilian_DOOD,1023316710,110040,43253,9235,833047
Trainwreckstv,1021699920,148425,49379,7134,728097
dota2ti,1017577605,6315,483530,147643,663297
SypherPK,1016450160,145230,130401,6553,3611359
Sacriel,1002681105,163095,66781,5573,672403
dakotaz,978947160,132615,43397,7112,4520305
AdmiralBulldog,972317520,154845,16681,6198,694253
pokimane,964334055,56505,112160,16026,5367605
Method,905107560,230940,148350,4135,401400
Nightblue3,899215845,118980,17738,7234,2641880
EsfandTV,888938940,189045,29597,4393,471970
shroud,888505170,30240,471281,29612,7744066
Scarra,864157695,138360,27421,6060,1242014
LPL,850636305,48765,146577,17573,502467
OverwatchLeague,805163370,24480,254493,33132,1796619
Thijs,794621265,108720,24923,7180,755116
Swagg,790021440,108375,74199,6309,784966
TeePee,789698115,170010,78741,4410,520519
LVNDMARK,788421150,199350,96236,3688,248829
BLASTPremier,753808200,25260,113167,24689,501371
cloakzy,748023225,101670,40497,6743,2138294
aceu,744620970,118125,26141,6328,859439
Elajjaz,726000045,145755,13080,4922,346566
CDNThe3rd,722562675,134280,55752,4919,2009972
WePlayEsport_EN,704823000,107745,87751,6127,175061
allkeyshop_tv,663185955,487005,6075,1361,67472
PlayHearthstone,661075170,41175,43877,13154,825727
ESL_DOTA2,661049190,212010,99858,4714,337177
Kitboga,656365305,80760,20913,7394,772055
DansGaming,653181210,187530,33646,3270,817365
Destiny,650910525,162690,24101,3894,571183
RATIRL,649761570,145050,14480,4420,423002
Yogscast,644580630,443130,54885,1384,961860
dogdog,622199835,103335,24727,5856,594239
chocoTaco,620395515,160830,30514,3846,1134153
Amouranth,618067800,235170,13495,2560,1707804
UberHaxorNova,615472275,181950,7808,3247,421256
Giantwaffle,612594165,165525,36340,3429,878934
imaqtpie,596368095,167190,26087,3478,2652018
x2Twins,595707975,125745,31874,4167,1288969
SmiteGame,586925850,344055,33245,1588,535211
RatedEpicz,582401145,175920,11860,3336,134757
Anton,581034300,142890,137531,3199,207484
benjyfishy,580787955,34350,75491,14423,1739112
CasinoDaddy,577240710,267465,6524,2168,151098
Jinnytty,569601090,151815,15190,3607,372334
Mathil1,561997440,134715,25866,3953,293595
Greekgodx,561616335,89745,45741,7083,1278824
ClassyBeef,558883590,273660,33624,1941,108623
Diegosaurs,558587535,128580,32463,4150,521201
BobRoss,558170835,238035,11659,2175,1519266
Nick28T,556741020,183660,15155,3024,977377
GMHikaru,554249955,68355,46106,7155,505361
Chap,550951215,157545,22571,3430,1272899
